,GA_time,GA_reward,ACO_time,ACO_reward,PSO_time,PSO_reward,bite_time,bite_reward,crfmnes_time,crfmnes_reward,cma_time,cma_reward
0,56.06224727630615,314,121.59013199806213,298,238.23157334327698,289,39.058985471725464,441,39.72793459892273,434,50.66296172142029,456
1,52.05091404914856,311,122.26404738426208,302,241.83624863624573,289,39.10333037376404,439,39.53652024269104,444,50.19519591331482,454
2,77.63106799125671,324,125.51480150222778,305,239.37697410583496,289,38.64271879196167,451,38.44761657714844,447,50.93549847602844,453
3,50.88910126686096,316,118.5559573173523,298,245.40905380249023,289,39.30220913887024,435,39.91448950767517,442,51.05449819564819,448
4,33.951091289520264,309,119.68368935585022,300,240.95427203178406,289,37.093496799468994,445,38.51204204559326,457,49.897205114364624,448
5,60.922651052474976,312,125.41091871261597,305,236.52511954307556,268,37.3585946559906,443,38.690799951553345,443,49.60398626327515,453
6,26.56275177001953,306,120.11046934127808,306,242.06101989746094,268,39.50685954093933,428,39.75976610183716,439,51.558860063552856,441
7,61.32375240325928,316,120.05138850212097,310,233.8285734653473,268,40.090492248535156,438,40.85525131225586,436,51.74447274208069,447
8,37.12442231178284,306,120.3231132030487,306,233.69531965255737,268,38.4350471496582,437,38.76801109313965,435,50.8484992980957,443
9,47.477869749069214,316,127.6965925693512,307,240.05935788154602,268,38.38720941543579,431,38.90469694137573,440,50.960296392440796,439
10,54.615023136138916,293,116.72015762329102,278,238.94307041168213,272,38.26019644737244,419,38.73788237571716,421,51.06042718887329,438
11,43.17228388786316,299,122.55364847183228,271,235.84930992126465,272,35.23800849914551,421,39.39118790626526,435,50.57405662536621,423
12,43.771241188049316,287,123.2763319015503,276,234.39628648757935,272,38.83680319786072,429,38.56462287902832,420,50.81852674484253,429
13,50.07056999206543,294,123.50580883026123,275,241.00378465652466,272,39.04914879798889,425,39.82760000228882,420,51.362987995147705,437
14,38.74653673171997,283,109.90139365196228,275,242.09858798980713,272,39.62281322479248,425,39.90175986289978,428,50.7886643409729,438
15,81.18572497367859,286,119.64624381065369,252,230.15463590621948,221,39.13467788696289,392,37.827181339263916,389,50.65316867828369,396
16,68.15413188934326,297,111.87760019302368,256,226.68126964569092,221,39.33462643623352,401,38.4455304145813,395,51.940380573272705,405
17,43.245270013809204,293,114.9030590057373,257,237.71565628051758,221,39.82218837738037,389,40.60913133621216,387,51.746766805648804,403
18,52.392592668533325,286,112.41129326820374,253,229.0706343650818,221,37.204872846603394,404,38.00885510444641,402,51.013710737228394,399
19,35.82215762138367,273,111.96654057502747,252,238.88793897628784,221,39.12008213996887,407,39.27396631240845,410,51.07439827919006,397
20,42.687142848968506,323,107.57411193847656,294,241.0563464164734,278,39.85864973068237,448,41.10824489593506,446,51.9404833316803,458
21,39.71671104431152,304,120.24382901191711,302,233.74047350883484,278,38.12939810752869,451,39.28062868118286,451,50.02592182159424,453
22,40.42335557937622,297,121.0414924621582,298,240.5246753692627,278,36.58758759498596,454,39.17685508728027,457,50.82584047317505,452
23,52.42227649688721,310,121.3326780796051,295,233.62223982810974,278,39.402902126312256,444,39.45512533187866,449,51.401649475097656,455
24,43.25590181350708,309,123.24721217155457,297,237.4660518169403,278,37.53670358657837,447,38.047645807266235,449,50.716774463653564,452
