,ga_time,ga_reward,aco_time,aco_reward,pso_time,pso_reward,bite_time,bite_reward
0,39.15339255332947,226,59.784116983413696,164,82.08085060119629,169,29.474792003631592,253
1,42.2649610042572,203,59.51937198638916,162,81.48272562026978,169,29.17179775238037,255
2,37.33424925804138,214,59.61299729347229,160,82.8138473033905,169,29.118401527404785,251
3,40.77284264564514,217,59.36393451690674,161,81.29103493690491,169,28.969945192337036,254
4,30.94230842590332,222,59.3733024597168,159,81.41984462738037,169,28.988024950027466,253
5,60.879703521728516,219,59.78665256500244,165,82.4189350605011,169,29.116202116012573,252
6,38.58513331413269,207,59.61094403266907,162,81.85267090797424,169,29.194207191467285,253
7,55.67005658149719,218,59.89452791213989,166,82.32526350021362,169,29.5743088722229,252
8,41.484626054763794,215,59.50467276573181,160,82.57092881202698,169,29.199570178985596,259
9,24.508678674697876,213,59.62951731681824,162,81.3279037475586,169,28.945523500442505,259
10,34.90601658821106,233,63.218249797821045,197,81.28200221061707,200,29.118285179138184,291
11,31.738896369934082,235,62.72061276435852,195,81.39863300323486,200,29.36823296546936,287
12,33.15062069892883,239,63.08000373840332,197,81.40895295143127,200,29.341546773910522,289
13,31.137139081954956,239,62.91405725479126,199,82.44992113113403,200,29.451127529144287,287
14,28.295210361480713,247,63.11614727973938,198,81.54135084152222,200,29.4417462348938,287
15,30.08411717414856,228,62.543970584869385,198,81.49479269981384,200,29.11005187034607,291
16,21.23361611366272,228,62.60525178909302,197,80.2102062702179,200,29.079646825790405,288
17,29.28040599822998,233,62.61399555206299,203,82.18522548675537,200,28.96692204475403,297
18,39.307411670684814,248,62.57327461242676,196,81.13534355163574,200,29.18458342552185,289
19,52.06725239753723,248,62.809285402297974,197,81.28335952758789,200,29.43112349510193,287
20,38.181660890579224,213,59.24085545539856,162,81.79510378837585,155,29.538750171661377,264
21,24.359742879867554,212,58.36292338371277,161,81.02557182312012,155,28.915584325790405,258
22,29.39885640144348,216,58.41748404502869,163,81.64693665504456,155,29.272028923034668,258
23,23.262468814849854,203,58.1400351524353,164,81.75159811973572,155,29.145748138427734,257
24,35.7121045589447,221,58.7518196105957,158,81.80780243873596,155,29.253021717071533,264
25,38.494019985198975,215,58.54923391342163,161,82.31245064735413,155,29.2051043510437,256
26,22.984946250915527,205,58.705755949020386,164,80.95096468925476,155,29.180344104766846,261
27,33.83490967750549,215,58.80724263191223,159,82.18676376342773,155,29.298423051834106,259
28,35.357460737228394,215,58.67868423461914,160,82.2187705039978,155,29.36859130859375,259
29,31.13514757156372,216,58.60833501815796,165,82.15863704681396,155,29.04956293106079,256
30,30.728935480117798,191,56.41714143753052,138,81.47079277038574,148,29.290273189544678,228
31,24.087085962295532,184,56.32396602630615,137,81.71037530899048,148,29.186641931533813,219
32,27.04719066619873,189,56.72315573692322,137,81.5055181980133,148,29.24225378036499,221
33,48.765284061431885,205,56.811843395233154,138,81.37303400039673,148,28.942907094955444,219
34,32.09476375579834,185,57.05487561225891,141,81.99085259437561,148,29.60284185409546,219
35,27.963602304458618,183,56.418856382369995,141,81.65952610969543,148,29.490803956985474,222
36,36.40204334259033,192,56.185635566711426,138,81.14350891113281,148,29.173136711120605,224
37,30.36328935623169,193,56.27402424812317,139,81.42572116851807,148,29.188921213150024,221
38,42.57218599319458,187,56.28843021392822,138,81.08203101158142,148,29.103321313858032,221
39,28.189388513565063,178,56.11720657348633,136,81.29152274131775,148,29.040069580078125,231
40,32.34624171257019,240,65.79053664207458,210,81.47300577163696,184,29.319069623947144,282
41,33.335646867752075,238,65.65939426422119,213,82.48673844337463,184,29.327411651611328,286
42,23.197038412094116,224,66.30361485481262,209,82.07589650154114,184,29.688042640686035,288
43,31.452372074127197,233,65.38678097724915,208,81.91513681411743,184,29.230610847473145,288
44,36.37165927886963,235,65.14270496368408,209,82.0689766407013,184,29.36049222946167,286
45,32.47036027908325,229,65.71451187133789,212,80.47122883796692,184,29.129512310028076,286
46,33.82166886329651,233,66.24220752716064,210,82.21553039550781,184,29.309505701065063,282
47,30.128364324569702,238,65.45981478691101,209,81.20696020126343,184,29.352287769317627,284
48,25.079893112182617,235,65.68028497695923,209,81.34254169464111,184,29.399786949157715,280
49,25.007721185684204,227,65.95287036895752,209,81.66081476211548,184,29.44249200820923,283
50,30.134021043777466,245,63.59777498245239,211,81.92832660675049,202,29.124171257019043,297
51,32.199747800827026,254,62.482871532440186,209,81.80475187301636,202,28.613447666168213,302
52,29.34539556503296,254,63.786780834198,212,81.81304287910461,202,29.161243200302124,302
53,32.37125825881958,252,63.68142747879028,209,81.24924612045288,202,29.097809076309204,301
54,20.888773202896118,238,64.30437707901001,208,81.41425514221191,202,29.44657564163208,298
