,GA_time,GA_reward,ACO_time,ACO_reward,PSO_time,PSO_reward,bite_time,bite_reward,crfmnes_time,crfmnes_reward,de_time,de_reward
0,18.425710916519165,158,17.817826986312866,95,14.516806602478027,126,17.616273880004883,167,17.710615396499634,152,17.790216207504272,160
1,5.937270879745483,147,18.545089721679688,92,16.180651903152466,126,16.779106378555298,167,17.248743534088135,149,16.827644109725952,163
2,23.262720108032227,158,17.509366989135742,93,11.56325078010559,126,17.18673539161682,163,17.718501091003418,148,17.26373028755188,164
3,9.894975423812866,150,17.319181203842163,98,14.805740356445312,126,16.95340657234192,165,17.141806840896606,148,16.923198461532593,169
4,14.731791734695435,168,15.406123399734497,92,16.531957387924194,126,16.947206020355225,165,17.511457443237305,145,17.081511974334717,161
5,16.33931612968445,121,11.893904685974121,82,14.243184566497803,101,17.02362823486328,138,17.397164344787598,121,16.891756772994995,132
6,13.276051998138428,127,11.455546617507935,82,14.98052453994751,101,17.140589714050293,144,17.426741361618042,117,17.239546298980713,136
7,15.210590124130249,138,16.573955297470093,79,16.667258262634277,101,17.165560483932495,139,18.037562370300293,118,16.468174695968628,135
8,13.453938245773315,126,18.047542810440063,79,16.52941656112671,101,17.36171269416809,140,17.858211994171143,116,17.395177364349365,131
9,21.413852214813232,140,10.921987771987915,79,14.392526626586914,101,17.04768967628479,138,17.288736581802368,132,17.11775517463684,132
10,20.883342504501343,115,12.17642617225647,67,12.72524094581604,89,17.09984278678894,122,17.4657564163208,107,17.278720140457153,114
11,17.081192016601562,114,16.5486900806427,66,14.327080011367798,89,16.76841640472412,120,17.55805492401123,112,17.37980031967163,115
12,9.063759088516235,121,16.504246473312378,66,15.453880786895752,89,16.988380908966064,120,17.618319511413574,103,17.143645763397217,115
13,18.06575608253479,112,18.604828357696533,65,16.575989723205566,89,17.314224004745483,121,17.26796865463257,103,16.99751329421997,113
14,18.73016595840454,115,13.735608577728271,70,16.132898092269897,89,17.01689100265503,119,17.39682173728943,106,17.413731336593628,116
15,14.866687774658203,131,16.72449493408203,98,15.749879360198975,101,16.99348497390747,139,17.58602523803711,131,17.094929456710815,135
16,15.333555459976196,135,20.74994730949402,99,15.667126893997192,101,16.7530415058136,141,17.6329562664032,137,17.550698041915894,135
17,12.711466312408447,139,19.550070762634277,99,16.099804162979126,101,17.219112634658813,144,17.593963384628296,129,17.341177463531494,136
18,11.171521663665771,134,18.896180629730225,99,14.500765562057495,101,16.972389221191406,142,17.32204842567444,127,17.443170309066772,139
19,12.59655475616455,128,19.090243816375732,99,14.284507274627686,101,16.906948804855347,142,17.24101996421814,129,17.421279668807983,137
20,15.923741817474365,141,18.14500617980957,99,16.012604475021362,105,17.013436794281006,144,17.211363077163696,127,17.091696977615356,140
21,17.575297832489014,142,12.534395217895508,98,16.65057897567749,105,17.23289656639099,141,17.415874004364014,135,17.166277647018433,137
22,7.7317492961883545,145,12.348343133926392,96,16.545748949050903,105,17.064063787460327,146,17.01296353340149,136,17.084622859954834,139
23,12.834725379943848,138,12.31883955001831,97,14.385295391082764,105,16.453457593917847,149,17.13698959350586,137,17.166931867599487,142
24,16.665599822998047,144,18.11217761039734,96,16.703100204467773,105,16.779163360595703,145,17.92869210243225,140,17.3687801361084,139
